id,title,price,base_price,original_price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,category_id,reviews_quantity,reviews_average,brand
MLA2019135782,Adaptador Smart Tv Box 4k Color Negro 32gb,36453.0,36453.0,,ARS,194,,,new,MLA352001,,,
MLA1400520061,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,106990.0,106990.0,,ARS,403,,,new,MLA352001,,,
MLA932850134,Chromecast With Google Tv De Voz 4 Generación 4k 8gb Snow Con 2gb De Memoria Ram,121399.0,121399.0,,ARS,991,,,new,MLA352001,,,
MLA1976418540,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,112999.0,112999.0,,ARS,352,,,new,MLA352001,,,
MLA1446389281,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,107999.0,107999.0,,ARS,865,,,new,MLA352001,,,
MLA1947297766,Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.ª Generación Color Negro,95990.0,95990.0,,ARS,177,,,new,MLA352001,,,
MLA1446111159,Google Chromecast Ultra 4k Negro,160539.0,160539.0,,ARS,31,,,new,MLA352001,,,
MLA1949495790,Tv Box Smart Z8pro 32gb El Mas Rapido Full Apps!!,91900.0,91900.0,,ARS,490,,,new,MLA352001,,,
MLA2004123498,Mirascreen Anycast Wireless Dongle Tipo Chromecast /e Color Negro,29999.0,29999.0,,ARS,199,,,new,MLA352001,,,
MLA1143886187,Chromecast With Google Tv De Voz 4k 8gb Snow 2gb Ram,130000.0,130000.0,,ARS,988,,,new,MLA352001,,,
MLA1669104294,Google Chromecast Ultra 4k Negro (bulk) ,72369.2,72369.2,,ARS,209,,,new,MLA352001,,,
MLA2014004732,Control De Voz Xiaomi Mi Tv Stick Full Hd De 8 Gb Y 1 Gb De Ram,75890.0,75890.0,,ARS,105,,,new,MLA352001,,,
